REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824769,49.4.2,591,,,,0
2022,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824769,49.4.2,607,,,,0
2023,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824769,49.4.2,666,,,,0
2024,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824769,49.4.2,673,,,,0
2020,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824957,49.4.3,706,,,,0
2021,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824957,49.4.3,721,,,,0
2022,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824957,49.4.3,750,,,,0
2023,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824957,49.4.3,809,,,,0
2024,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824957,49.4.3,817,,,,0
2020,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825145,49.4.4,757,,,,0
2021,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825145,49.4.4,814,,,,0
2022,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825145,49.4.4,845,,,,0
2023,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825145,49.4.4,874,,,,0
2024,"Rimouski, Quebec",2011S0504404,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825145,49.4.4,906,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822926,50.3.1,416,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822926,50.3.1,418,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822926,50.3.1,459,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822926,50.3.1,522,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822926,50.3.1,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823060,50.3.2,482,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823060,50.3.2,485,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823060,50.3.2,518,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823060,50.3.2,578,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823060,50.3.2,648,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823194,50.3.3,638,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823194,50.3.3,658,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823194,50.3.3,698,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823194,50.3.3,764,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823194,50.3.3,820,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823328,50.3.4,682,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823328,50.3.4,698,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823328,50.3.4,767,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823328,50.3.4,843,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823328,50.3.4,1126,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823462,50.2.1,,F,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823462,50.2.1,,F,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823462,50.2.1,,F,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823462,50.2.1,,F,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823462,50.2.1,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823596,50.2.2,,F,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823596,50.2.2,,F,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823596,50.2.2,,F,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823596,50.2.2,,F,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823596,50.2.2,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823730,50.2.3,,F,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823730,50.2.3,,F,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823730,50.2.3,,F,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823730,50.2.3,,F,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823730,50.2.3,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823864,50.2.4,,F,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823864,50.2.4,,F,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823864,50.2.4,,F,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823864,50.2.4,,F,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823864,50.2.4,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823998,50.1.1,416,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823998,50.1.1,418,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823998,50.1.1,459,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823998,50.1.1,522,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823998,50.1.1,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824132,50.1.2,482,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824132,50.1.2,485,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824132,50.1.2,518,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824132,50.1.2,578,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824132,50.1.2,648,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824266,50.1.3,637,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824266,50.1.3,656,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824266,50.1.3,697,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824266,50.1.3,763,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824266,50.1.3,820,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824400,50.1.4,682,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824400,50.1.4,698,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824400,50.1.4,767,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824400,50.1.4,843,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824400,50.1.4,1126,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824582,50.4.1,418,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824582,50.4.1,420,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824582,50.4.1,466,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824582,50.4.1,528,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824582,50.4.1,,F,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824770,50.4.2,491,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824770,50.4.2,498,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824770,50.4.2,542,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824770,50.4.2,610,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824770,50.4.2,706,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824958,50.4.3,660,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824958,50.4.3,684,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824958,50.4.3,714,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824958,50.4.3,791,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824958,50.4.3,856,,,,0
2020,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825146,50.4.4,670,,,,0
2021,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825146,50.4.4,685,,,,0
2022,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825146,50.4.4,764,,,,0
2023,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825146,50.4.4,827,,,,0
2024,"Rivière-du-Loup, Quebec",2011S0504405,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825146,50.4.4,1087,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822885,51.3.1,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822885,51.3.1,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822885,51.3.1,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822885,51.3.1,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822885,51.3.1,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823019,51.3.2,395,,,,0
2021,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823019,51.3.2,407,,,,0
2022,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823019,51.3.2,420,,,,0
2023,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823019,51.3.2,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823019,51.3.2,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823153,51.3.3,520,,,,0
2021,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823153,51.3.3,522,,,,0
2022,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823153,51.3.3,542,,,,0
2023,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823153,51.3.3,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823153,51.3.3,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823287,51.3.4,573,,,,0
2021,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823287,51.3.4,595,,,,0
2022,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823287,51.3.4,654,,,,0
2023,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823287,51.3.4,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823287,51.3.4,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823421,51.2.1,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823421,51.2.1,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823421,51.2.1,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823421,51.2.1,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v3823421,51.2.1,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823555,51.2.2,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823555,51.2.2,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823555,51.2.2,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823555,51.2.2,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v3823555,51.2.2,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823689,51.2.3,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823689,51.2.3,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823689,51.2.3,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823689,51.2.3,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823689,51.2.3,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823823,51.2.4,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823823,51.2.4,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823823,51.2.4,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823823,51.2.4,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823823,51.2.4,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823957,51.1.1,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823957,51.1.1,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823957,51.1.1,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823957,51.1.1,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3823957,51.1.1,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824091,51.1.2,395,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824091,51.1.2,407,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824091,51.1.2,420,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824091,51.1.2,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824091,51.1.2,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824225,51.1.3,519,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824225,51.1.3,522,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824225,51.1.3,540,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824225,51.1.3,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824225,51.1.3,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824359,51.1.4,573,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824359,51.1.4,595,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824359,51.1.4,654,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824359,51.1.4,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824359,51.1.4,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824525,51.4.1,,F,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824525,51.4.1,,F,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824525,51.4.1,,F,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824525,51.4.1,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Bachelor units,Dollars,81,units,0,v3824525,51.4.1,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824713,51.4.2,391,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824713,51.4.2,410,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824713,51.4.2,422,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824713,51.4.2,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824713,51.4.2,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824901,51.4.3,541,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824901,51.4.3,546,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824901,51.4.3,552,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824901,51.4.3,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824901,51.4.3,0,,,,0
2020,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825089,51.4.4,540,,,,0
2021,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825089,51.4.4,536,,,,0
2022,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825089,51.4.4,576,,,,0
2023,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825089,51.4.4,0,,,,0
2024,"Roberval, Quebec",2011A00052491025,Apartment structures of six units and over,Three bedroom units,Dollars,81,units,0,v3825089,51.4.4,0,,,,0
2020,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822927,52.3.1,484,,,,0
2021,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822927,52.3.1,490,,,,0
2022,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822927,52.3.1,536,,,,0
2023,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822927,52.3.1,542,,,,0
2024,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v3822927,52.3.1,594,,,,0
2020,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823061,52.3.2,561,,,,0
2021,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823061,52.3.2,562,,,,0
2022,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823061,52.3.2,611,,,,0
2023,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823061,52.3.2,630,,,,0
2024,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823061,52.3.2,699,,,,0
2020,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823195,52.3.3,721,,,,0
2021,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823195,52.3.3,771,,,,0
2022,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823195,52.3.3,845,,,,0
2023,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823195,52.3.3,881,,,,0
2024,"Rouyn-Noranda, Quebec",2011S0504485,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823195,52.3.3,1033,,,,0
